scheme_name,link,authority,source,description,main_category,gender,caste_category,income_group,age_group,sector,benefit_type,occupation,disability_status,marital_family_status,raw_tag_1,raw_tag_2,raw_tag_3,raw_tag_4,raw_tag_5,raw_tag_6,raw_tag_7,raw_tag_8,raw_tag_9,raw_tag_10,raw_tag_11,raw_tag_12,raw_tag_13,raw_tag_14,raw_tag_15
Free Uniforms for Students,https://www.myscheme.gov.in/schemes/fufs,Madhya Pradesh,myscheme,This scheme Launched on 1 July 2004 with the aims to ensure regular attendance and continuity in education by offering uniform assistance to both boys and girls enrolled in Classes 1 to 8.,Education,All,All / Not Specified,Not Specified,Student / Youth,Education,Infrastructure / In-kind,Student,Not Specified,Not Specified,Education,Free Uniform,Student Welfare,Student / Youth,Infrastructure / In-kind,Student,Girls Enrolled,Enrolled Classes,Continuity,Attendance,,,,,
"Freeship Less than ₹1,00,000/- (UG Students Only)",https://www.myscheme.gov.in/schemes/freeshipuk,Uttarakhand,myscheme,"The scheme aims to provide tuition fee concessions to students enrolled in 3-year undergraduate programs and 4-year veterinary programs. Through this scheme, tuition fee concessions are provided to students in higher years of study whose tuition fees are less than ₹1,00,000/-.",Education,All,All / Not Specified,Not Specified,Student / Youth,General / Not Specified,Not Specified,Student,Not Specified,Not Specified,Freeship,Student,Tuition Fee,Undergraduate,Education,Student / Youth,Fee Concessions,Programs,Veterinary,Enrolled,,,,,
Freeship Staff Ward,https://www.myscheme.gov.in/schemes/fsw,Uttarakhand,myscheme,"The scheme aims to support the education of students who are wards of university staff and are pursuing undergraduate, postgraduate, or PhD courses by providing 50% of tuition fee concessions.",Education,All,All / Not Specified,Not Specified,Student / Youth,Education,Not Specified,Student,Not Specified,Not Specified,Freeship,Staff Ward,Student,Tuition Fee,Education,Student / Youth,Postgraduate Phd,Concessions,Phd Courses,Pursuing Undergraduate,,,,,
"Freeship less than ₹1,00,000 (UG students only)",https://www.myscheme.gov.in/schemes/freeship-ug-students-only,Uttarakhand,myscheme,"The scheme ""Freeship Less than ₹1,00,000 only for UG students"" by the Dean Student Welfare, GBPUAT, Pantnagar aims to support meritorious undergraduate students from low-income families. This Freeship scheme provides full tuition fee exemption to eligible students.",Education,All,All / Not Specified,Not Specified,Student / Youth,Education,Scholarship,Student,Not Specified,Not Specified,Education,Research,Scholarship,Students,Student / Youth,Student,Freeship,Pantnagar,Welfare Gbpuat,Fee Exemption,,,,,
Fruit Area Expansion,https://www.myscheme.gov.in/schemes/fae,Uttarakhand,myscheme,"The scheme aims to increase fruit production by encouraging farmers to establish new orchards, providing fruit plants at a 50% subsidy to support the expansion of fruit cultivation across Uttarakhand.",Agriculture,All,All / Not Specified,Not Specified,All Ages,Agriculture,Subsidy,Farmer,Not Specified,Not Specified,Farmer,Fruit,Fruit Plants,Horticulture,Agriculture,Subsidy,Production Encouraging,Orchards,Establish New,Expansion,,,,,
Fruit Development Scheme,https://www.myscheme.gov.in/schemes/fds,Meghalaya,myscheme,The objective of the scheme is to make available to the farmers good quality planting materials in convergence mode and sale at subsidized rates.,Agriculture,All,All / Not Specified,Not Specified,All Ages,Agriculture,Subsidy,Farmer,Not Specified,Not Specified,Agriculture,Farmer,Fruit Production,Horticultural,Planting Material,Subsidy,Convergence,Quality Planting,Good Quality,Mode,,,,,
Fruit Processing Centre,https://www.myscheme.gov.in/schemes/fpc,Meghalaya,myscheme,"The objective of scheme is to disseminate technical knowhow to youth entrepreneurs, farmers & housewives through practical demonstration on importance of fruit preservation & to manufacture quality processed fruit products such as Squashes, Jams, Jelly & Juices under trade name ‘Meg Fruits Product'.",Agriculture,All,All / Not Specified,Not Specified,Student / Youth,Agriculture,Skill Training,Farmer,Not Specified,Not Specified,Demonstration,Farmer,Fruit Processing,Horticulture,Training,Vegetable Processing,Youth Entrepreneur,Agriculture,Student / Youth,Skill Training,,,,,
Full Medical Checkup Assistance Scheme- Gujarat Labour Welfare Board,https://www.myscheme.gov.in/schemes/sfmcas-glwb,Gujarat,myscheme,The objective of the scheme is to conduct health check-ups for male Shramyogis above 45 years of age and female Shram Yogis above 35 years of age who are working in the organized sector in the state of Gujarat.,Health,Men,All / Not Specified,Not Specified,All Ages,Health,Not Specified,Unorganized Sector Worker,Not Specified,Not Specified,Checkup,Labour,Medical,Organized Worker,Shramyogi,Health,Men,Unorganized Sector Worker,,,,,,,
Fund of Funds for Startups,https://www.myscheme.gov.in/schemes/ffs,Ministry of Commerce And Industry,myscheme,"Launched in January 2016 under Startup India, the Fund of Funds for Startups is managed by SIDBI. It supports DPIIT-recognized startups indirectly by investing in SEBI-registered AIFs, which must invest at least twice the FFS contribution.",Employment & Skill Development,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,DPIIT,Startup India,Startups,AIF,Equity,Employment & Skill Development,Investing,Twice,Managed,Funds,,,,,
Funeral Assistance,https://www.myscheme.gov.in/schemes/fa,Maharashtra,myscheme,"Under this scheme, the “Maharashtra Building & Other Construction Workers Welfare Board” (MBOCWW) provides financial assistance for funeral expenses of ₹10,000/- to the nominated heir of the deceased registered worker in the event of their death.",Social Welfare,All,All / Not Specified,Not Specified,All Ages,Public Administration / Welfare,Financial Assistance / Grant,Unorganized Sector Worker,Not Specified,Not Specified,Construction Worker,Financial Assistance,Funeral Expense,Labour,Nominated Heir,Social Welfare,Public Administration / Welfare,Financial Assistance / Grant,Unorganized Sector Worker,,,,,,
